"resource_name","delivery_date","hour_ending","min_gen_cost"
"AEEC_ANTLP_2","2023-05-13 00:00:00",16,"21.6100000000"
"AEEC_ANTLP_2","2023-05-15 00:00:00",16,"25.3900000000"
"AEEC_ANTLP_2","2023-05-16 00:00:00",16,"25.6200000000"
"AEEC_ANTLP_2","2023-05-17 00:00:00",16,"26.8100000000"
"AEEC_ANTLP_2","2023-05-20 00:00:00",16,"29.3900000000"
"AEEC_ANTLP_2","2023-05-18 00:00:00",16,"27.7400000000"
"AEEC_ANTLP_2","2023-05-19 00:00:00",16,"26.1600000000"
"AEEC_ANTLP_2","2023-05-24 00:00:00",16,"34.6200000000"
"AEEC_ANTLP_2","2023-05-21 00:00:00",16,"29.3900000000"
"AEEC_ANTLP_2","2023-05-22 00:00:00",16,"29.3900000000"
"AEEC_ANTLP_2","2023-05-23 00:00:00",16,"35.5900000000"
"AEEC_ANTLP_2","2023-05-25 00:00:00",16,"34.4000000000"
"AEEC_ANTLP_2","2023-05-26 00:00:00",16,"32.1100000000"
"AEEC_ANTLP_2","2023-05-27 00:00:00",16,"13.6300000000"
"AEEC_ANTLP_2","2023-05-28 00:00:00",16,"28.0700000000"
"AEEC_ANTLP_2","2023-05-29 00:00:00",16,"28.7500000000"
"AEEC_ANTLP_2","2023-06-02 00:00:00",16,"29.8300000000"
"AEEC_ANTLP_2","2023-05-30 00:00:00",16,"28.7500000000"
"AEEC_ANTLP_2","2023-05-31 00:00:00",16,NULL
"AEEC_ANTLP_2","2023-06-01 00:00:00",16,NULL
"AEEC_ANTLP_2","2023-06-03 00:00:00",16,"29.2900000000"
"AEEC_ANTLP_2","2023-06-05 00:00:00",16,"29.2900000000"
"AEEC_ANTLP_2","2023-06-04 00:00:00",16,"29.2900000000"
"AEEC_ANTLP_2","2023-06-06 00:00:00",16,"32.8700000000"
"AEEC_ANTLP_2","2023-06-07 00:00:00",16,"32.3300000000"
"AEEC_ANTLP_2","2023-06-08 00:00:00",16,"33.9600000000"
"AEEC_ANTLP_2","2023-06-09 00:00:00",16,"33.5300000000"
"AEEC_ANTLP_2","2023-06-10 00:00:00",16,NULL
"AEEC_ANTLP_2","2023-06-12 00:00:00",16,"30.4800000000"
"AEEC_ANTLP_2","2023-06-11 00:00:00",16,"30.4800000000"
"AEEC_ANTLP_2","2023-06-14 00:00:00",16,"34.5100000000"
"AEEC_ANTLP_2","2023-06-13 00:00:00",16,"32.5400000000"
"AEEC_ANTLP_2","2023-06-15 00:00:00",16,"34.6200000000"
"AEEC_ANTLP_2","2023-06-16 00:00:00",16,"34.6200000000"
"AEEC_ANTLP_2","2023-06-17 00:00:00",16,"34.8300000000"
"AEEC_ANTLP_2","2023-06-19 00:00:00",16,"34.8300000000"
"AEEC_ANTLP_2","2023-06-18 00:00:00",16,"34.8300000000"
"AEEC_ANTLP_2","2023-06-21 00:00:00",16,"33.4500000000"
"AEEC_ANTLP_2","2023-06-20 00:00:00",16,"33.4200000000"
"AEEC_ANTLP_2","2023-06-22 00:00:00",16,"36.8900000000"
"AEEC_ANTLP_2","2023-06-27 00:00:00",16,"40.0400000000"
"AEEC_ANTLP_2","2023-06-23 00:00:00",16,"37.9300000000"
"AEEC_ANTLP_2","2023-06-24 00:00:00",16,"37.4400000000"
"AEEC_ANTLP_2","2023-06-25 00:00:00",16,"37.4400000000"
"AEEC_ANTLP_2","2023-06-26 00:00:00",16,"37.4400000000"
"AEEC_ANTLP_2","2023-06-28 00:00:00",16,"40.1500000000"
"AEEC_ANTLP_2","2023-06-29 00:00:00",16,"39.9400000000"
"AEEC_ANTLP_2","2023-07-01 00:00:00",16,"37.4300000000"
"AEEC_ANTLP_2","2023-06-30 00:00:00",16,"38.8600000000"
"AEEC_ANTLP_2","2023-07-05 00:00:00",16,"36.8100000000"
"AEEC_ANTLP_2","2023-07-02 00:00:00",16,"36.8100000000"
"AEEC_ANTLP_2","2023-07-03 00:00:00",16,"36.8100000000"
"AEEC_ANTLP_2","2023-07-04 00:00:00",16,"36.8100000000"
"AEEC_ANTLP_2","2023-07-06 00:00:00",16,"38.8500000000"
"AEEC_ANTLP_2","2023-07-08 00:00:00",16,"35.1500000000"
"AEEC_ANTLP_2","2023-07-07 00:00:00",16,"35.9200000000"
"AEEC_ANTLP_2","2023-07-11 00:00:00",16,"37.1800000000"
"AEEC_ANTLP_2","2023-07-09 00:00:00",16,"35.1100000000"
"AEEC_ANTLP_2","2023-07-10 00:00:00",16,"35.0700000000"
"AEEC_ANTLP_2","2023-07-13 00:00:00",16,"39.0800000000"
"AEEC_ANTLP_2","2023-07-12 00:00:00",16,"38.5800000000"
"AEEC_ANTLP_2","2023-07-14 00:00:00",16,"38.2700000000"
"AEEC_ANTLP_2","2023-07-16 00:00:00",16,"38.1200000000"
"AEEC_ANTLP_2","2023-07-15 00:00:00",16,"38.0900000000"
"AEEC_ANTLP_2","2023-07-17 00:00:00",16,"38.1000000000"
"AEEC_ANTLP_2","2023-07-19 00:00:00",16,"37.8300000000"
"AEEC_ANTLP_2","2023-07-18 00:00:00",16,"35.8100000000"
"AEEC_ANTLP_2","2023-07-20 00:00:00",16,"37.1200000000"
"AEEC_ANTLP_2","2023-07-22 00:00:00",16,"39.0300000000"
"AEEC_ANTLP_2","2023-07-21 00:00:00",16,"38.5300000000"
"AEEC_ANTLP_2","2023-07-24 00:00:00",16,"39.0300000000"
"AEEC_ANTLP_2","2023-07-23 00:00:00",16,"39.0300000000"
"AEEC_ANTLP_2","2023-07-26 00:00:00",16,NULL
"AEEC_ANTLP_2","2023-07-25 00:00:00",16,NULL
"AEEC_ANTLP_2","2023-07-27 00:00:00",16,NULL
"AEEC_ANTLP_2","2023-07-29 00:00:00",16,"38.8600000000"
"AEEC_ANTLP_2","2023-07-28 00:00:00",16,NULL
"AEEC_ANTLP_2","2023-07-31 00:00:00",16,"38.8600000000"
"AEEC_ANTLP_2","2023-07-30 00:00:00",16,"38.8600000000"
"AEEC_ANTLP_2","2023-08-02 00:00:00",16,"38.6300000000"
"AEEC_ANTLP_2","2023-08-01 00:00:00",16,"39.1300000000"
"AEEC_ANTLP_2","2023-08-04 00:00:00",16,"36.7300000000"
"AEEC_ANTLP_2","2023-08-03 00:00:00",16,"36.4600000000"
"AEEC_ANTLP_2","2023-08-05 00:00:00",16,"36.5700000000"
"AEEC_ANTLP_2","2023-08-08 00:00:00",16,"37.8800000000"
"AEEC_ANTLP_2","2023-08-06 00:00:00",16,"36.5700000000"
"AEEC_ANTLP_2","2023-08-07 00:00:00",16,"36.0300000000"
"AEEC_ANTLP_2","2023-08-09 00:00:00",16,"38.7400000000"
"AEEC_ANTLP_2","2023-08-13 00:00:00",16,"39.7200000000"
"AEEC_ANTLP_2","2023-08-10 00:00:00",16,"40.9200000000"
"AEEC_ANTLP_2","2023-08-11 00:00:00",16,"41.3500000000"
"AEEC_ANTLP_2","2023-08-12 00:00:00",16,"39.7200000000"
"AEEC_ANTLP_2","2023-08-14 00:00:00",16,"39.7200000000"
"AEEC_ANTLP_2","2023-08-16 00:00:00",16,"38.7400000000"
"AEEC_ANTLP_2","2023-08-15 00:00:00",16,"39.6100000000"
"AEEC_ANTLP_2","2023-08-17 00:00:00",16,"39.8600000000"
"AEEC_ANTLP_2","2023-08-20 00:00:00",16,"38.8200000000"
"AEEC_ANTLP_2","2023-08-18 00:00:00",16,"40.2300000000"
"AEEC_ANTLP_2","2023-08-19 00:00:00",16,"38.8200000000"
"AEEC_ANTLP_2","2023-08-22 00:00:00",16,"39.1800000000"
"AEEC_ANTLP_2","2023-08-21 00:00:00",16,"38.8200000000"
"AEEC_ANTLP_2","2023-08-23 00:00:00",16,"40.2000000000"
"AEEC_ANTLP_2","2023-08-25 00:00:00",16,"38.1800000000"
"AEEC_ANTLP_2","2023-08-24 00:00:00",16,"39.3000000000"
"AEEC_ANTLP_2","2023-08-26 00:00:00",16,"37.7200000000"
"AEEC_ANTLP_2","2023-08-29 00:00:00",16,"38.9400000000"
"AEEC_ANTLP_2","2023-08-27 00:00:00",16,"37.7200000000"
"AEEC_ANTLP_2","2023-08-28 00:00:00",16,"37.7200000000"
"AEEC_ANTLP_2","2023-08-31 00:00:00",16,"38.3900000000"
"AEEC_ANTLP_2","2023-08-30 00:00:00",16,"38.8800000000"
"AEEC_ANTLP_2","2023-09-02 00:00:00",16,"39.2600000000"
"AEEC_ANTLP_2","2023-09-01 00:00:00",16,"39.7900000000"
"AEEC_ANTLP_2","2023-09-04 00:00:00",16,"39.2600000000"
"AEEC_ANTLP_2","2023-09-03 00:00:00",16,"39.2600000000"
"AEEC_ANTLP_2","2023-09-06 00:00:00",16,"38.1800000000"
"AEEC_ANTLP_2","2023-09-05 00:00:00",16,"39.2600000000"
"AEEC_ANTLP_2","2023-09-07 00:00:00",16,"37.3100000000"
"AEEC_ANTLP_2","2023-09-08 00:00:00",16,"38.6100000000"
"AEEC_ANTLP_2","2023-09-10 00:00:00",16,"38.4500000000"
"AEEC_ANTLP_2","2023-09-09 00:00:00",16,"38.4500000000"
"AEEC_ANTLP_2","2023-09-11 00:00:00",16,"38.4500000000"
"AEEC_ANTLP_2","2023-09-12 00:00:00",16,"37.2900000000"
"AEEC_ANTLP_2","2023-09-13 00:00:00",16,"39.2400000000"
"AEEC_ANTLP_2","2023-09-14 00:00:00",16,"38.7500000000"
"AEEC_ANTLP_2","2023-09-18 00:00:00",16,"37.3900000000"
"AEEC_ANTLP_2","2023-09-15 00:00:00",16,"39.4600000000"
"AEEC_ANTLP_2","2023-09-16 00:00:00",16,"37.3900000000"
"AEEC_ANTLP_2","2023-09-17 00:00:00",16,"37.3900000000"
"AEEC_ANTLP_2","2023-09-19 00:00:00",16,"31.9100000000"
"AEEC_ANTLP_2","2023-09-20 00:00:00",16,"38.3300000000"
"AEEC_ANTLP_2","2023-09-21 00:00:00",16,"34.0200000000"
"AEEC_ANTLP_2","2023-09-24 00:00:00",16,"37.1500000000"
"AEEC_ANTLP_2","2023-09-22 00:00:00",16,"32.6100000000"
"AEEC_ANTLP_2","2023-09-23 00:00:00",16,"37.1500000000"
"AEEC_ANTLP_2","2023-09-26 00:00:00",16,"37.3700000000"
"AEEC_ANTLP_2","2023-09-25 00:00:00",16,"37.1500000000"
"AEEC_ANTLP_2","2023-09-27 00:00:00",16,"36.6700000000"
"AEEC_ANTLP_2","2023-09-29 00:00:00",16,"36.3000000000"
"AEEC_ANTLP_2","2023-09-28 00:00:00",16,"35.2700000000"
"AEEC_ANTLP_2","2023-09-30 00:00:00",16,"36.5700000000"
